doi_1,doi_2
10.1088/1751-8113/45/9/095003,10.1090/S0273-0979-01-00912-0
10.1088/1751-8113/45/9/095003,10.1016/S0304-3975(03)00218-4
10.1088/1751-8113/45/9/095003,10.2307/2374380
10.1088/1751-8113/45/9/095003,10.1016/B978-1-4832-3187-7.50007-6
10.1088/1751-8113/45/9/095003,10.1112/S0010437X06002235
10.1088/1751-8113/45/9/095003,10.2969/jmsj/06010001
10.1088/1751-8113/45/9/095003,10.1063/1.1703862
10.1088/1751-8113/45/9/095003,10.1103/PhysRevE.52.5849
10.1088/1751-8113/45/9/095003,
10.1088/1751-8113/45/9/095003,
10.1088/1751-8113/45/9/095003,10.1007/BF01009436
10.1088/1751-8113/45/9/095003,10.1016/0304-3975(95)00002-E
10.1088/1751-8113/45/9/095003,10.1016/j.nuclphysb.2010.11.013
10.1088/1751-8113/45/9/095003,10.37236/982
10.1088/1751-8113/45/9/095003,
10.1088/1751-8113/45/9/095003,10.1090/S0002-9939-1992-1092920-8
10.1088/1751-8113/45/9/095003,
10.1088/1751-8113/45/9/095003,10.1088/0305-4470/31/40/007
10.1088/1751-8113/45/9/095003,10.1103/PhysRevE.78.051102
10.1088/1751-8113/45/9/095003,10.1080/10451120310001633711
10.1088/1751-8113/45/9/095003,
10.1088/1751-8113/45/9/095003,10.1088/1742-6596/42/1/017
10.1088/1751-8113/45/9/095003,10.1088/0305-4470/33/48/318
10.1088/1751-8113/45/9/095003,10.1007/978-3-322-80021-3
10.1088/1751-8113/45/9/095003,
10.1088/1751-8113/45/9/095003,10.1112/blms/5.1.85
10.1088/1751-8113/45/9/095003,
10.1088/1751-8113/45/9/095003,
10.1088/1751-8113/45/9/095003,10.1023/A:1004819507352
10.1088/1751-8113/45/9/095003,10.1017/S1446788700004432
10.1088/1751-8113/45/9/095003,10.1103/PhysRevLett.101.150601
10.1088/1751-8113/45/9/095003,
10.1088/1751-8113/45/9/095003,10.1214/105051607000000041
10.1088/1751-8113/45/9/095003,
